year,country,n_researchers_padded,inmigration,outmigration,netmigration,inmigration_rate,outmigration_rate,netmigration_rate
2005,MT,435,41,42,-1,0.09425287356321839,0.09655172413793103,-0.0022988505747126436
2006,MT,479,36,47,-11,0.07515657620041753,0.09812108559498957,-0.022964509394572025
2007,MT,563,51,61,-10,0.0905861456483126,0.108348134991119,-0.017761989342806393
2008,MT,654,52,51,1,0.07951070336391437,0.0779816513761468,0.0015290519877675841
2009,MT,748,73,40,33,0.09759358288770054,0.053475935828877004,0.04411764705882353
2010,MT,868,62,64,-2,0.07142857142857142,0.07373271889400922,-0.002304147465437788
2011,MT,1007,82,61,21,0.0814299900695134,0.0605759682224429,0.020854021847070508
2012,MT,1223,92,77,15,0.07522485690923958,0.06295993458708095,0.012264922322158627
2013,MT,1316,89,74,15,0.067629179331307,0.05623100303951368,0.011398176291793313
2014,MT,1549,117,72,45,0.07553260167850226,0.046481601032924466,0.029051000645577793
2015,MT,1736,102,85,17,0.0587557603686636,0.048963133640553,0.009792626728110598
2016,MT,1988,128,97,31,0.06438631790744467,0.04879275653923541,0.015593561368209255
2017,MT,2116,144,125,19,0.06805293005671077,0.05907372400756144,0.008979206049149339
2018,MT,2245,186,133,53,0.08285077951002227,0.05924276169265033,0.023608017817371936
2019,MT,2425,161,146,15,0.0663917525773196,0.06020618556701031,0.006185567010309278
2020,MT,2799,166,145,21,0.05930689531975706,0.05180421579135405,0.007502679528403001
2021,MT,3002,171,159,12,0.056962025316455694,0.05296469020652898,0.003997335109926716
2022,MT,3187,183,154,29,0.057420771885786,0.04832130530279259,0.009099466582993411
2023,MT,3209,201,173,28,0.0626363353069492,0.05391087566220006,0.008725459644749143
2024,MT,2530,219,182,37,0.08656126482213439,0.07193675889328063,0.014624505928853756
2025,MT,1621,260,235,25,0.16039481801357186,0.14497223935842074,0.015422578655151141
1998,MU,151,0,0,0,0.0,0.0,0.0
1999,MU,193,6,4,2,0.031088082901554404,0.02072538860103627,0.010362694300518135
2000,MU,203,5,3,2,0.024630541871921183,0.014778325123152709,0.009852216748768473
2001,MU,215,9,3,6,0.04186046511627907,0.013953488372093023,0.027906976744186046
2002,MU,233,8,13,-5,0.034334763948497854,0.055793991416309016,-0.02145922746781116
2003,MU,256,6,7,-1,0.0234375,0.02734375,-0.00390625
2004,MU,286,9,5,4,0.03146853146853147,0.017482517482517484,0.013986013986013986
2005,MU,294,4,6,-2,0.013605442176870748,0.02040816326530612,-0.006802721088435374
2006,MU,337,7,13,-6,0.020771513353115726,0.03857566765578635,-0.017804154302670624
2007,MU,359,14,12,2,0.03899721448467967,0.033426183844011144,0.005571030640668524
2008,MU,436,19,14,5,0.04357798165137615,0.03211009174311927,0.011467889908256881
2009,MU,484,15,21,-6,0.030991735537190084,0.04338842975206612,-0.012396694214876033
2010,MU,529,19,15,4,0.035916824196597356,0.02835538752362949,0.007561436672967864
2011,MU,621,19,27,-8,0.030595813204508857,0.043478260869565216,-0.01288244766505636
2012,MU,666,16,23,-7,0.024024024024024024,0.03453453453453453,-0.010510510510510511
2013,MU,749,22,26,-4,0.029372496662216287,0.03471295060080107,-0.0053404539385847796
2014,MU,769,27,20,7,0.035110533159947985,0.02600780234070221,0.009102730819245773
2015,MU,881,27,20,7,0.03064699205448354,0.022701475595913734,0.007945516458569807
2016,MU,979,34,33,1,0.03472931562819203,0.033707865168539325,0.0010214504596527069
2017,MU,1128,43,31,12,0.038120567375886524,0.0274822695035461,0.010638297872340425
2018,MU,1124,35,52,-17,0.03113879003558719,0.046263345195729534,-0.015124555160142349
2019,MU,1219,60,40,20,0.04922067268252666,0.03281378178835111,0.016406890894175553
2020,MU,1238,22,52,-30,0.017770597738287562,0.0420032310177706,-0.024232633279483037
