year,country,n_researchers,inmigration,outmigration,netmigration,inmigration_rate,outmigration_rate,netmigration_rate
2022,MQ,340,61,60,1,0.17941176470588235,0.17647058823529413,0.0029411764705882353
2023,MQ,345,67,66,1,0.19420289855072465,0.19130434782608696,0.002898550724637681
2024,MQ,423,86,61,25,0.2033096926713948,0.14420803782505912,0.0591016548463357
2025,MQ,400,73,77,-4,0.1825,0.1925,-0.01
1998,MR,12,0,0,0,0.0,0.0,0.0
1999,MR,14,0,2,-2,0.0,0.14285714285714285,-0.14285714285714285
2000,MR,17,3,1,2,0.17647058823529413,0.058823529411764705,0.11764705882352941
2001,MR,13,2,0,2,0.15384615384615385,0.0,0.15384615384615385
2002,MR,13,3,2,1,0.23076923076923078,0.15384615384615385,0.07692307692307693
2003,MR,17,2,2,0,0.11764705882352941,0.11764705882352941,0.0
2004,MR,18,0,3,-3,0.0,0.16666666666666666,-0.16666666666666666
2005,MR,30,7,4,3,0.23333333333333334,0.13333333333333333,0.1
2006,MR,30,8,4,4,0.26666666666666666,0.13333333333333333,0.13333333333333333
2007,MR,39,8,2,6,0.20512820512820512,0.05128205128205128,0.15384615384615385
2008,MR,19,5,10,-5,0.2631578947368421,0.5263157894736842,-0.2631578947368421
2009,MR,27,4,9,-5,0.14814814814814814,0.3333333333333333,-0.18518518518518517
2010,MR,43,9,7,2,0.20930232558139536,0.16279069767441862,0.046511627906976744
2011,MR,61,7,11,-4,0.11475409836065574,0.18032786885245902,-0.06557377049180328
2012,MR,70,10,3,7,0.14285714285714285,0.04285714285714286,0.1
2013,MR,76,9,13,-4,0.11842105263157894,0.17105263157894737,-0.05263157894736842
2014,MR,71,15,12,3,0.2112676056338028,0.16901408450704225,0.04225352112676056
2015,MR,73,10,12,-2,0.136986301369863,0.1643835616438356,-0.0273972602739726
2016,MR,128,20,14,6,0.15625,0.109375,0.046875
2017,MR,123,24,11,13,0.1951219512195122,0.08943089430894309,0.10569105691056911
2018,MR,162,20,20,0,0.12345679012345678,0.12345679012345678,0.0
2019,MR,170,20,19,1,0.11764705882352941,0.11176470588235295,0.0058823529411764705
2020,MR,167,19,15,4,0.11377245508982035,0.08982035928143713,0.023952095808383235
2021,MR,203,36,22,14,0.17733990147783252,0.10837438423645321,0.06896551724137931
2022,MR,193,39,19,20,0.20207253886010362,0.09844559585492228,0.10362694300518134
2023,MR,249,36,35,1,0.14457831325301204,0.14056224899598393,0.004016064257028112
2024,MR,243,39,27,12,0.16049382716049382,0.1111111111111111,0.04938271604938271
2025,MR,279,44,33,11,0.15770609318996415,0.11827956989247312,0.03942652329749104
1998,MS,4,0,0,0,0.0,0.0,0.0
1999,MS,18,13,1,12,0.7222222222222222,0.05555555555555555,0.6666666666666666
2000,MS,9,2,7,-5,0.2222222222222222,0.7777777777777778,-0.5555555555555556
2001,MS,6,1,0,1,0.16666666666666666,0.0,0.16666666666666666
2002,MS,8,1,4,-3,0.125,0.5,-0.375
2003,MS,2,2,0,2,1.0,0.0,1.0
2004,MS,9,4,4,0,0.4444444444444444,0.4444444444444444,0.0
